time_s,vx_ms,vy_ms,pitch_deg,roll_deg
43.100002,0.001581,-0.067798,-1.470000,-3.150000
43.200007,0.009493,-0.040531,-1.880000,-3.200000
43.300022,0.003346,-0.061843,-2.310000,-3.040000
43.400003,0.068341,-0.050928,-2.640000,-2.650000
43.500020,0.052583,-0.026779,-2.750000,-2.270000
43.600008,0.083152,0.006521,-2.840000,-2.060000
43.699973,0.060916,-0.003524,-2.460000,-2.120000
43.799998,0.109548,-0.004042,-2.150000,-2.070000
43.899985,0.090281,-0.021090,-2.080000,-1.660000
44.000006,0.078089,-0.000254,-2.370000,-0.990000
44.099987,0.066991,-0.009864,-2.450000,-0.710000
44.200003,0.043880,0.038360,-2.300000,-0.750000
44.300088,0.045162,0.037492,-2.160000,-0.950000
44.400011,0.019752,0.042821,-1.900000,-0.780000
44.500022,0.002774,0.040317,-1.840000,-0.680000
44.600009,-0.019642,0.044320,-1.820000,-0.780000
44.700037,-0.016540,0.065162,-1.940000,-1.160000
44.799986,-0.035450,0.068841,-1.850000,-1.340000
44.900008,-0.019320,0.039823,-1.860000,-1.540000
45.000006,-0.056132,0.054799,-2.030000,-1.490000
45.100036,-0.054167,0.039378,-2.090000,-1.510000
45.200032,-0.081842,0.073865,-1.850000,-1.590000
45.300000,-0.056480,0.023382,-1.400000,-1.950000
45.400002,-0.053291,0.045983,-1.290000,-2.200000
45.500008,-0.037975,0.019540,-1.690000,-2.240000
45.600007,-0.053436,0.039541,-2.210000,-1.970000
45.700018,-0.030000,0.018042,-2.480000,-1.840000
45.800001,-0.049411,0.038436,-2.360000,-1.710000
45.900008,-0.064372,0.003300,-2.070000,-1.720000
46.000007,-0.045835,0.041562,-1.940000,-1.840000
46.099972,-0.022518,0.021919,-1.660000,-2.000000
46.200001,-0.023301,0.046697,-1.660000,-1.880000
46.299985,-0.027637,-0.000552,-1.470000,-1.800000
46.399974,-0.039639,0.039603,-1.290000,-1.810000
46.500017,-0.025864,0.018968,-1.240000,-1.900000
46.599980,-0.053187,-0.022721,-1.460000,-2.020000
46.700041,-0.037343,-0.039975,-1.800000,-2.220000
46.800025,-0.011991,-0.027192,-1.900000,-2.290000
46.900038,-0.010888,-0.034672,-1.990000,-2.450000
46.999998,-0.015406,-0.044683,-1.790000,-2.320000
47.100018,0.017554,-0.046329,-1.630000,-2.010000
47.200006,0.020234,-0.045997,-1.850000,-1.500000
47.300040,0.024272,-0.059022,-2.390000,-1.170000
47.400036,-0.008846,-0.087542,-2.650000,-1.190000
47.499992,-0.021341,-0.065289,-2.600000,-1.260000
47.600010,-0.011810,-0.053326,-2.390000,-1.610000
47.700006,-0.031999,-0.061931,-2.470000,-1.760000
47.800000,-0.040002,-0.059131,-2.690000,-1.840000
47.900026,-0.015090,-0.065973,-2.960000,-1.710000
47.999989,-0.029779,-0.058327,-3.000000,-1.870000
48.100005,-0.037547,-0.064361,-2.950000,-2.240000
48.199975,-0.014978,-0.057113,-3.030000,-2.230000
48.300014,0.005270,-0.074162,-3.340000,-1.850000
48.400008,0.015205,-0.073258,-3.690000,-1.450000
48.500008,0.027593,-0.052769,-3.780000,-1.330000
48.599979,0.029459,-0.026970,-3.650000,-1.500000
48.699998,0.030636,0.000708,-3.650000,-1.570000
48.800000,0.028476,0.031809,-3.680000,-1.500000
48.900015,0.015985,0.069413,-3.660000,-1.240000
48.999975,0.006363,0.117447,-3.330000,-1.030000
49.099973,0.002854,0.134150,-2.990000,-1.130000
49.200003,0.006988,0.143061,-2.830000,-1.350000
49.300038,-0.001823,0.142278,-2.670000,-1.590000
